"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","0 Muthithi Rd","362","Enterprise Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1408,744,2664
"258","0 Muthithi Rd","363","Kahawa Sukari Ave","1/1/2018 - 1/31/2018, Every day, Daily Average",1674,1195,2343
"258","0 Muthithi Rd","364","Mombasa Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2958,1920,4555
"258","0 Muthithi Rd","366","Red Hill Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1444,958,2174
"258","0 Muthithi Rd","367","Mombasa Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2035,1211,3418
"258","0 Muthithi Rd","368","Tara Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",802,520,1236
"258","0 Muthithi Rd","369","Green Ln","1/1/2018 - 1/31/2018, Every day, Daily Average",2928,1910,4487
"258","0 Muthithi Rd","370","Emmaus Street,","1/1/2018 - 1/31/2018, Every day, Daily Average",2049,1352,3103
"258","0 Muthithi Rd","371","Racing Circuit","1/1/2018 - 1/31/2018, Every day, Daily Average",1553,811,2971
"258","0 Muthithi Rd","372","Musa Gitau Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",824,459,1477
"258","0 Muthithi Rd","374","Namanga Road","1/1/2018 - 1/31/2018, Every day, Daily Average",3019,2099,4341
"258","0 Muthithi Rd","376","Gathuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1795,1218,2643
"258","0 Muthithi Rd","377","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1874,1222,2873
"258","0 Muthithi Rd","378","Aerodrome Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",957,427,2142
"258","0 Muthithi Rd","379","Kamukunji Road","1/1/2018 - 1/31/2018, Every day, Daily Average",997,587,1691
"258","0 Muthithi Rd","380","Mombasa Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1956,1167,3277
"258","0 Muthithi Rd","381","Eldoret-Malaba Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1927,1451,2557
"258","0 Muthithi Rd","383","Muungano House","1/1/2018 - 1/31/2018, Every day, Daily Average",969,453,2070
"258","0 Muthithi Rd","385","Laxmi Estate","1/1/2018 - 1/31/2018, Every day, Daily Average",1396,880,2213
"258","0 Muthithi Rd","386","Ablution Block","1/1/2018 - 1/31/2018, Every day, Daily Average",1118,537,2327
"258","0 Muthithi Rd","387","3rd Sunrise Ave","1/1/2018 - 1/31/2018, Every day, Daily Average",2122,1182,3807
"258","0 Muthithi Rd","388","0 Moi Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",1823,1185,2803
"258","0 Muthithi Rd","389","Limuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2911,2040,4152
"258","0 Muthithi Rd","390","100-188 Thego Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",1012,569,1798
"258","0 Muthithi Rd","391","Meru - Nairobi Hwy","1/1/2018 - 1/31/2018, Every day, Daily Average",1873,1319,2657
"258","0 Muthithi Rd","392","Coffee Garden Dr","1/1/2018 - 1/31/2018, Every day, Daily Average",729,450,1179
"258","0 Muthithi Rd","394","Limuru Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",2515,1705,3709
"258","0 Muthithi Rd","396","Unnamed Road","1/1/2018 - 1/31/2018, Every day, Daily Average",2772,1760,4363
"258","0 Muthithi Rd","397","Mahavir Court","1/1/2018 - 1/31/2018, Every day, Daily Average",273,124,600
"258","0 Muthithi Rd","398","Kihara- Gacii- Karura Road","1/1/2018 - 1/31/2018, Every day, Daily Average",1903,1247,2902
"258","0 Muthithi Rd","399","Eastern Bypass","1/1/2018 - 1/31/2018, Every day, Daily Average",2533,1461,4388
"258","0 Muthithi Rd","400","Outer Ring Rd","1/1/2018 - 1/31/2018, Every day, Daily Average",760,454,1272
